Order_ID,Date,Product,Region,Quantity_Sold,Unit_Price,Total_Sales
1,2025-01-02,Laptop,East,4,1377,5508
2,2025-01-03,Tablet,South,6,18549,111294
3,2025-01-04,Tablet,East,4,7585,30340
4,2025-01-05,Mobile,West,7,39046,273322
5,2025-01-06,Mobile,West,4,44936,179744
6,2025-01-07,Smartwatch,South,2,31014,62028
7,2025-01-08,Laptop,West,10,44919,449190
8,2025-01-09,Tablet,West,10,20366,203660
9,2025-01-10,Mobile,South,8,10371,82968
10,2025-01-11,Smartwatch,North,8,23630,189040
11,2025-01-12,Tablet,West,8,12495,99960
12,2025-01-13,Headphones,South,5,20685,103425
13,2025-01-14,Tablet,South,7,38720,271040
14,2025-01-15,Headphones,North,8,47388,379104
15,2025-01-16,Tablet,West,4,21498,85992
16,2025-01-17,Laptop,South,5,22676,113380
17,2025-01-18,Headphones,East,8,26809,214472
18,2025-01-19,Mobile,East,4,30323,121292
19,2025-01-20,Tablet,West,8,48880,391040
20,2025-01-21,Tablet,East,2,28516,57032
21,2025-01-22,Smartwatch,West,7,15191,106337
22,2025-01-23,Headphones,South,7,19230,134610
23,2025-01-24,Laptop,West,1,48079,48079
24,2025-01-25,Mobile,South,2,41676,83352
25,2025-01-26,Smartwatch,East,7,47104,329728
26,2025-01-27,Mobile,North,3,13863,41589
27,2025-01-28,Smartwatch,South,9,24592,221328
28,2025-01-29,Mobile,South,1,38181,38181
29,2025-01-30,Tablet,East,10,35694,356940
30,2025-01-31,Smartwatch,North,6,25801,154806
31,2025-02-01,Smartwatch,East,3,7807,23421
32,2025-02-02,Headphones,North,2,20456,40912
33,2025-02-03,Headphones,West,2,42142,84284
34,2025-02-04,Tablet,West,10,30158,301580
35,2025-02-05,Smartwatch,East,6,39927,239562
36,2025-02-06,Smartwatch,South,10,7547,75470
37,2025-02-07,Mobile,North,1,34513,34513
38,2025-02-08,Smartwatch,North,6,29917,179502
39,2025-02-09,Mobile,South,8,23428,187424
40,2025-02-10,Tablet,East,4,22987,91948
41,2025-02-11,Headphones,North,2,49985,99970
42,2025-02-12,Mobile,West,9,40536,364824
43,2025-02-13,Tablet,South,6,10488,62928
44,2025-02-14,Mobile,South,8,13546,108368
45,2025-02-15,Tablet,North,5,15662,78310
46,2025-02-16,Smartwatch,South,5,42973,214865
47,2025-02-17,Tablet,East,4,49754,199016
48,2025-02-18,Laptop,South,3,39404,118212
49,2025-02-19,Headphones,South,8,45565,364520
50,2025-02-20,Headphones,North,1,22754,22754
51,2025-02-21,Smartwatch,East,2,20522,41044
52,2025-02-22,Mobile,East,4,40673,162692
53,2025-02-23,Tablet,North,1,42918,42918
54,2025-02-24,Mobile,North,8,2078,16624
55,2025-02-25,Tablet,East,5,9811,49055
56,2025-02-26,Laptop,West,6,24685,148110
57,2025-02-27,Smartwatch,West,3,37189,111567
58,2025-02-28,Smartwatch,West,7,31560,220920
59,2025-03-01,Headphones,West,9,48756,438804
60,2025-03-02,Laptop,West,9,23321,209889
61,2025-03-03,Laptop,North,8,36630,293040
62,2025-03-04,Smartwatch,North,5,35014,175070
63,2025-03-05,Laptop,North,4,19904,79616
64,2025-03-06,Mobile,West,9,44232,398088
65,2025-03-07,Laptop,North,1,41526,41526
66,2025-03-08,Mobile,East,1,19902,19902
67,2025-03-09,Tablet,North,1,19940,19940
68,2025-03-10,Headphones,East,4,18486,73944
69,2025-03-11,Mobile,South,6,43005,258030
70,2025-03-12,Headphones,West,5,43706,218530
71,2025-03-13,Tablet,East,6,37869,227214
72,2025-03-14,Headphones,West,10,41219,412190
73,2025-03-15,Smartwatch,South,8,31382,251056
74,2025-03-16,Laptop,South,1,7388,7388
75,2025-03-17,Tablet,East,2,4130,8260
76,2025-03-18,Tablet,North,5,41581,207905
77,2025-03-19,Tablet,East,1,18752,18752
78,2025-03-20,Headphones,North,5,7046,35230
79,2025-03-21,Tablet,North,10,3782,37820
80,2025-03-22,Mobile,East,3,6260,18780
81,2025-03-23,Mobile,East,8,17880,143040
82,2025-03-24,Tablet,North,4,23231,92924
83,2025-03-25,Laptop,South,4,30616,122464
84,2025-03-26,Tablet,East,6,15006,90036
85,2025-03-27,Smartwatch,North,6,1019,6114
86,2025-03-28,Headphones,North,10,28660,286600
87,2025-03-29,Laptop,East,5,5233,26165
88,2025-03-30,Mobile,North,7,8441,59087
89,2025-03-31,Smartwatch,West,5,22358,111790
90,2025-04-01,Tablet,South,4,39940,159760
91,2025-04-02,Smartwatch,North,10,41260,412600
92,2025-04-03,Headphones,East,5,35843,179215
93,2025-04-04,Smartwatch,North,3,23298,69894
94,2025-04-05,Mobile,West,7,35747,250229
95,2025-04-06,Mobile,East,9,48270,434430
96,2025-04-07,Mobile,North,3,4199,12597
97,2025-04-08,Headphones,East,8,4658,37264
98,2025-04-09,Mobile,South,7,36249,253743
99,2025-04-10,Tablet,North,6,20292,121752
100,2025-04-11,Mobile,East,3,25351,76053
